,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link,query_genre
77,Vaundy,70,1731531,https://open.spotify.com/artist/2IUl3m1H1EQ7QfNbNWvgru,"['j-pop', 'japanese soul']",怪獣の花唄,strobo,81.0,2020-05-27,224806.0,False,https://open.spotify.com/album/2sBQhSi92938W2hCLALSHy,https://open.spotify.com/track/10zz9RZt9DnqcxNWksRNrx,j-pop
78,YUZU,53,1715792,https://open.spotify.com/artist/7lNFzeAXmSIKexINNgO6bu,"['j-acoustic', 'j-pop']",Natsuiro,Yuzuikka,38.0,1998-07-23,202933.0,False,https://open.spotify.com/album/0iIuw07avKm8Roqt9v7JWe,https://open.spotify.com/track/4PdYyw2zDCNdmrlBKcNP9K,j-pop
79,D.O.,57,1707682,https://open.spotify.com/artist/2CQZr2RPZmrcvDnaod1ldC,['k-pop'],I'm Gonna Love You,공감 (Empathy) - The 1st Mini Album,69.0,2021-07-26,151733.0,False,https://open.spotify.com/album/4dqWy2Soq1Z1rqgKfXOATk,https://open.spotify.com/track/1jxGBe4s8FwL2ZeNWszVuu,j-pop
80,Gen Hoshino,59,1702458,https://open.spotify.com/artist/1S2S00lgLYLGHWA44qGEUs,"['j-acoustic', 'j-pop', 'japanese singer-songwriter']",Comedy,Comedy,71.0,2022-04-08,230666.0,False,https://open.spotify.com/album/41ERrwfzos93Xlf6hFBiDn,https://open.spotify.com/track/5SuOikwiRyPMVoIQDJUgSV,j-pop
81,Gen Hoshino,59,1702458,https://open.spotify.com/artist/1S2S00lgLYLGHWA44qGEUs,"['j-acoustic', 'j-pop', 'japanese singer-songwriter']",Comedy,Comedy,71.0,2022-04-08,230666.0,False,https://open.spotify.com/album/41ERrwfzos93Xlf6hFBiDn,https://open.spotify.com/track/5SuOikwiRyPMVoIQDJUgSV,japanese
82,NMIXX,67,1696756,https://open.spotify.com/artist/28ot3wh4oNmoFOdVajibBl,"['k-pop', 'k-pop girl group']",Love Me Like This,expérgo,78.0,2023-03-20,188718.0,False,https://open.spotify.com/album/6GbCvETnCVvkpvK6qCqTYS,https://open.spotify.com/track/6P3CtlzTKLxcNYGOS3es8m,j-pop
83,PSY,61,1651872,https://open.spotify.com/artist/2dd5mrQZvg6SmahdgVKDzh,"['k-rap', 'korean old school hip hop']",That That (prod. & feat. SUGA of BTS),PSY 9th,78.0,2022-04-29,174646.0,False,https://open.spotify.com/album/7hbSWdxliNs551GXtflIZB,https://open.spotify.com/track/7GNRUsU3M4XNDDB9xle5Dz,korean
84,MISIA,54,1623177,https://open.spotify.com/artist/3uyDATzOGjbGCts7v2eszk,['j-pop'],アイノカタチ,Life is going on and on,64.0,2018-12-26,262693.0,False,https://open.spotify.com/album/6shpoVTIdAcPmUYwIDNdBz,https://open.spotify.com/track/7mSVOYRseiZi20xtBKhHnF,j-pop
85,ZUTOMAYO,63,1549590,https://open.spotify.com/artist/38WbKH6oKAZskBhqDFA8Uj,['j-pop'],花一匁,沈香学,62.0,2023-06-06,250613.0,False,https://open.spotify.com/album/1mtciArMoiLPqOdflY5dWQ,https://open.spotify.com/track/7xwmx6snj1GphKH9ihzo8e,j-pop
86,LeeHi,64,1542200,https://open.spotify.com/artist/7cVZApDoQZpS447nHTsNqu,['k-pop'],ONLY,4 ONLY,81.0,2021-09-09,240906.0,False,https://open.spotify.com/album/1DKgZeAYrjslAPZVMe6EFt,https://open.spotify.com/track/6TBJkXHPhu3EsMk1bshwuI,j-pop
87,Sheena Ringo,61,1531884,https://open.spotify.com/artist/2XjqKvB2Xz9IdyjWPIHaXi,"['j-pop', 'j-rock']",W●RK,W●RK,77.0,2023-04-01,201073.0,False,https://open.spotify.com/album/0uKLHZitWwrvekNjznMAaB,https://open.spotify.com/track/1L50ymp25Vmu7VnPRx5TWf,j-pop
88,BABYMETAL,65,1527028,https://open.spotify.com/artist/630wzNP2OL7fl4Xl0GnMWq,"['idol rock', 'j-metal', 'kawaii metal']",The End (feat. BABYMETAL),Pink Tape,61.0,2023-06-29,187244.0,False,https://open.spotify.com/album/2wUNlLjPu70gw4v0TzbNAI,https://open.spotify.com/track/21xf4oLo7SlAFxfjurqYws,j-idol
89,Kana Nishino,57,1510771,https://open.spotify.com/artist/4DDoAL8n6ob19r3jOZEbJI,['j-pop'],トリセツ,Love Collection 2 Pink,44.0,2013,259013.0,False,https://open.spotify.com/album/30z9Q8BeTXVng6qtTVPW6n,https://open.spotify.com/track/7vVfV8GJ9vdzDnzWCWmIBp,j-pop
90,BTOB,55,1503939,https://open.spotify.com/artist/2hcsKca6hCfFMwwdbFvenJ,"['k-pop', 'k-pop boy group']",Missing You,Brother Act.,65.0,2017-10-16,236829.0,False,https://open.spotify.com/album/3oXEVu3gwToJRkE2xAW44a,https://open.spotify.com/track/2zlgwqw8BLX2JGB76LIFeF,j-pop
91,Namie Amuro,57,1461536,https://open.spotify.com/artist/4BmWSGKG6HiYvLuJvZ9afa,"['classic j-pop', 'j-pop', 'okinawan pop']",Hope - from BEST AL「Finally」,Hope (from BEST AL「Finally」),53.0,2018-02-11,252586.0,False,https://open.spotify.com/album/6WijLQ77rvfrUl9QKl5eBJ,https://open.spotify.com/track/3TWOZfoweq30oUvxBOVJJe,j-pop
92,Shota Shimizu,59,1435566,https://open.spotify.com/artist/2ZjWbNQAjL74Pf4aqikIz2,['j-pop'],Fallin,Insomnia,58.0,2023-06-28,233866.0,False,https://open.spotify.com/album/3OWVzVs8Kkngnks5Or0WFZ,https://open.spotify.com/track/1tpk0IGfeMshahOQgQQWb5,j-pop
93,DREAMS COME TRUE,59,1426971,https://open.spotify.com/artist/2mJOGcLR3aCHkM1uAF93or,"['classic j-pop', 'j-pop']",何度でも,TOKYO - DRIVING -,33.0,2021-03-30,221973.0,False,https://open.spotify.com/album/7H3HTshoInP8pcBf9dKWbe,https://open.spotify.com/track/3Iy943Mi0DkbmYaSbMTKZJ,j-pop
94,HIRAIDAI,63,1426230,https://open.spotify.com/artist/7JthQ6zwNzfxRfIEjp6wUs,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']","Stand by me, Stand by you.",Life Goes On,67.0,2021-02-10,193012.0,False,https://open.spotify.com/album/6CK4JBvVs10dL8xn2nNZwe,https://open.spotify.com/track/7DyS11kB1YNrfDzQqtjmTh,j-pop
95,HIRAIDAI,63,1426230,https://open.spotify.com/artist/7JthQ6zwNzfxRfIEjp6wUs,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']","Stand by me, Stand by you.",Life Goes On,67.0,2021-02-10,193012.0,False,https://open.spotify.com/album/6CK4JBvVs10dL8xn2nNZwe,https://open.spotify.com/track/7DyS11kB1YNrfDzQqtjmTh,japanese
96,Superfly,53,1410182,https://open.spotify.com/artist/5M8AXrOifBT8elkLKbGPQZ,['j-pop'],愛をこめて花束を,Superfly,67.0,2007-04-04,295600.0,False,https://open.spotify.com/album/15oB8OFgucQsUUIdafLHAw,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ,j-pop
97,STAYC,62,1394713,https://open.spotify.com/artist/01XYiBYaoMJcNhPokrg0l0,"['k-pop', 'k-pop girl group']",RUN2U,YOUNG-LUV.COM,72.0,2022-02-21,213426.0,False,https://open.spotify.com/album/2xPdgNkM4yIQmP7axJ1T1o,https://open.spotify.com/track/3gFcGnU4kTdMYLXDjH1TK8,j-pop
98,サザンオールスターズ,62,1386651,https://open.spotify.com/artist/79nkC8XZ5ohEVU0Xlf5Ael,"['classic j-pop', 'j-pop']",真夏の果実,真夏の果実,67.0,1990-07-25,279300.0,False,https://open.spotify.com/album/6yqQMQGUPlrEHUC8WHHwp1,https://open.spotify.com/track/3AVLsBieDGotYuo5RPEL64,j-pop
99,JISOO,69,1354603,https://open.spotify.com/artist/6UZ0ba50XreR4TM8u322gs,['k-pop'],FLOWER,ME,84.0,2023-03-31,173134.0,False,https://open.spotify.com/album/4QuczuzDZNzCDli5Gz6DQ0,https://open.spotify.com/track/69CrOS7vEHIrhC2ILyEi0s,j-pop
100,DEAN,59,1350527,https://open.spotify.com/artist/3eCd0TZrBPm2n9cDG6yWfF,"['k-pop', 'korean r&b']",instagram,instagram,69.0,2017-12-26,255728.0,False,https://open.spotify.com/album/1wW2yfORAbOEfn2Et1q687,https://open.spotify.com/track/6z1kLsntE7FuzKZHZWrXYN,j-pop
101,DEAN,59,1350527,https://open.spotify.com/artist/3eCd0TZrBPm2n9cDG6yWfF,"['k-pop', 'korean r&b']",instagram,instagram,69.0,2017-12-26,255728.0,False,https://open.spotify.com/album/1wW2yfORAbOEfn2Et1q687,https://open.spotify.com/track/6z1kLsntE7FuzKZHZWrXYN,korean
102,AAA,52,1336908,https://open.spotify.com/artist/1AyWsgtaIgXbzjJlTx2ZDp,['j-pop'],Wake up!,GOLD SYMPHONY,53.0,2014-10-01,223760.0,False,https://open.spotify.com/album/2K4rdeEWAiU0CgqI8XXdjR,https://open.spotify.com/track/2ZCkl705ROXLgLtXXKhBp2,j-pop
103,AKMU,54,1319575,https://open.spotify.com/artist/6OwKE9Ez6ALxpTaKcT5ayv,['k-pop'],"How can I love the heartbreak, you're the one I love",SAILING,66.0,2019-09-25,290095.0,False,https://open.spotify.com/album/7C0Ci0alKWwwXPIFYEdVcn,https://open.spotify.com/track/0hqj5JBnFt1BHEz2UCFwrl,j-pop
